From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology (biological process)	Gene Ontology IDs	Gene Ontology (molecular function)	Gene Ontology (cellular component)	Pathway	Intramembrane	Subcellular location [CC]	Topological domain	Transmembrane
WP_037617766.1	A0A139MHT0	unreviewed	A0A139MHT0_9STRE	Large ribosomal subunit protein uL5	rplE STRDD04_01816	Streptococcus sp. DD04	180	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]	translation [GO:0006412]	GO:0000049; GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_015604250.1	A0A0A0DCZ7	unreviewed	A0A0A0DCZ7_9STRE	Large ribosomal subunit protein uL24	rplX SSIN_1662	Streptococcus sinensis	101	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_015604250.1	A0A139MIF3	unreviewed	A0A139MIF3_9STRE	Large ribosomal subunit protein uL24	rplX STRDD04_01817	Streptococcus sp. DD04	101	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_015604250.1	A0A512ACP2	unreviewed	A0A512ACP2_STRCR	Large ribosomal subunit protein uL24	rplX FXF62_08880 SOL01_13430	Streptococcus cristatus	101	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_002894494.1	A0A4Q1ZDX7	unreviewed	A0A4Q1ZDX7_9STRE	Large ribosomal subunit protein uL14	rplN DHT93_08655	Streptococcus australis	122	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	large ribosomal subunit [GO:0015934]					
WP_002894494.1	A0A0F5MMD3	unreviewed	A0A0F5MMD3_STRGN	Large ribosomal subunit protein uL14	rplN A6J85_04605 DW726_10455 K1I99_09825 NCTC7869_01957 NCTC7870_02124 RN86_03885 SGODD07_01884 TZ86_01390	Streptococcus gordonii	122	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	large ribosomal subunit [GO:0015934]					
WP_002894494.1	A0A0B7GHW1	unreviewed	A0A0B7GHW1_STRSA	Large ribosomal subunit protein uL14	rplN D8870_09325 D8875_07555 D8879_10740 D8882_09635 D8883_10885 D8885_11045 D8887_09300 D8889_02015 EII39_09275 FDP16_11280 FFV08_11255 FKX92_11115 FOC72_09615 NCTC11085_02285 NCTC11086_02244 SSV_0053	Streptococcus sanguinis	122	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	large ribosomal subunit [GO:0015934]					
WP_002894494.1	A0A127TUG9	unreviewed	A0A127TUG9_9STRE	Large ribosomal subunit protein uL14	rplN D8783_09115	Streptococcus sp. A12	122	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	large ribosomal subunit [GO:0015934]					
WP_002894494.1	A0A139MI65	unreviewed	A0A139MI65_9STRE	Large ribosomal subunit protein uL14	rplN STRDD04_01818	Streptococcus sp. DD04	122	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	large ribosomal subunit [GO:0015934]					
WP_002894494.1	A0A501VNP9	unreviewed	A0A501VNP9_9STRE	Large ribosomal subunit protein uL14	rplN FJR71_09380	Streptococcus xiaochunlingii	122	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	large ribosomal subunit [GO:0015934]					
WP_002894494.1	A3CK73	reviewed	RL14_STRSV	Large ribosomal subunit protein uL14 (50S ribosomal protein L14)	rplN SSA_0117	Streptococcus sanguinis (strain SK36)	122	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	large ribosomal subunit [GO:0015934]					
WP_002894494.1	A0A0F2CUU3	unreviewed	A0A0F2CUU3_STRCR	Large ribosomal subunit protein uL14	rplN D8790_08575 D8791_08005 D8792_08170 D8794_09255 D8797_07865 D8798_08660 D8872_07080 SCRDD08_02034 SOL01_13420 TW70_00700	Streptococcus cristatus	122	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	large ribosomal subunit [GO:0015934]					
WP_002894494.1	A8AZL5	reviewed	RL14_STRGC	Large ribosomal subunit protein uL14 (50S ribosomal protein L14)	rplN SGO_1975	Streptococcus gordonii (strain Challis / ATCC 35105 / BCRC 15272 / CH1 / DL1 / V288)	122	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	large ribosomal subunit [GO:0015934]					
WP_002894494.1	A0A3S4M1N1	unreviewed	A0A3S4M1N1_9STRE	Large ribosomal subunit protein uL14	rplN NCTC3166_00141	Streptococcus viridans	122	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	large ribosomal subunit [GO:0015934]					
WP_002894494.1	F3UUS9	unreviewed	F3UUS9_STRSA	Large ribosomal subunit protein uL14	rplN HMPREF9380_0267	Streptococcus sanguinis SK49	122	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	large ribosomal subunit [GO:0015934]					
WP_002894494.1	F0I596	unreviewed	F0I596_STRSA	Large ribosomal subunit protein uL14	rplN HMPREF9381_2336	Streptococcus sanguinis SK72	122	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	large ribosomal subunit [GO:0015934]					
WP_002894494.1	F0IA87	unreviewed	F0IA87_STRSA	Large ribosomal subunit protein uL14	rplN HMPREF9382_1636	Streptococcus sanguinis SK115	122	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	large ribosomal subunit [GO:0015934]					
WP_002894494.1	F0IIR6	unreviewed	F0IIR6_STRSA	Large ribosomal subunit protein uL14	rplN HMPREF9383_0018	Streptococcus sanguinis SK150	122	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	large ribosomal subunit [GO:0015934]					
WP_002894494.1	F0IQP3	unreviewed	F0IQP3_STRSA	Large ribosomal subunit protein uL14	rplN HMPREF9384_0155	Streptococcus sanguinis SK160	122	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	large ribosomal subunit [GO:0015934]					
WP_002894494.1	F2CAD0	unreviewed	F2CAD0_STRSA	Large ribosomal subunit protein uL14	rplN HMPREF9386_2136	Streptococcus sanguinis SK330	122	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	large ribosomal subunit [GO:0015934]					
WP_002894494.1	F0FG64	unreviewed	F0FG64_STRSA	Large ribosomal subunit protein uL14	rplN HMPREF9388_1701	Streptococcus sanguinis SK353	122	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	large ribosomal subunit [GO:0015934]					
WP_002894494.1	F2CHI3	unreviewed	F2CHI3_STRSA	Large ribosomal subunit protein uL14	rplN HMPREF9391_2249	Streptococcus sanguinis SK408	122	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	large ribosomal subunit [GO:0015934]					
WP_002894494.1	F0FP98	unreviewed	F0FP98_STRSA	Large ribosomal subunit protein uL14	rplN HMPREF9392_0018	Streptococcus sanguinis SK678	122	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	large ribosomal subunit [GO:0015934]					
WP_002894494.1	F3UEF1	unreviewed	F3UEF1_STRSA	Large ribosomal subunit protein uL14	rplN HMPREF9393_2005	Streptococcus sanguinis SK1056	122	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	large ribosomal subunit [GO:0015934]					
WP_002894494.1	F2BNH8	unreviewed	F2BNH8_STRSA	Large ribosomal subunit protein uL14	rplN HMPREF9394_0019	Streptococcus sanguinis SK1057	122	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	large ribosomal subunit [GO:0015934]					
WP_002894494.1	F3SKK1	unreviewed	F3SKK1_STRSA	Large ribosomal subunit protein uL14	rplN HMPREF9397_1673	Streptococcus sanguinis SK1087	122	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	large ribosomal subunit [GO:0015934]					
WP_002894494.1	E7S870	unreviewed	E7S870_9STRE	Large ribosomal subunit protein uL14	rplN HMPREF9421_0256	Streptococcus australis ATCC 700641	122	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	large ribosomal subunit [GO:0015934]					
WP_002894494.1	E8JVV9	unreviewed	E8JVV9_STRCR	Large ribosomal subunit protein uL14	rplN HMPREF9422_1339	Streptococcus cristatus ATCC 51100	122	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	large ribosomal subunit [GO:0015934]					
WP_002894494.1	F9HEV2	unreviewed	F9HEV2_9STRE	Large ribosomal subunit protein uL14	rplN HMPREF9182_1350	Streptococcus sp. oral taxon 056 str. F0418	122	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	large ribosomal subunit [GO:0015934]					
WP_002885836.1	A0A0U3FCE3	unreviewed	A0A0U3FCE3_9STRE	Small ribosomal subunit protein uS17	rpsQ NCTC13760_00088	Streptococcus infantarius	86	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_002885836.1	F8LTX9	unreviewed	F8LTX9_STRTR	Small ribosomal subunit protein uS17	rpsQ STH8232_2225	Streptococcus thermophilus JIM 8232	86	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_002885836.1	S5QVN9	unreviewed	S5QVN9_9STRE	Small ribosomal subunit protein uS17	rpsQ KE3_0358	Streptococcus lutetiensis 033	86	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_002885836.1	W3Y2L7	unreviewed	W3Y2L7_9STRE	Small ribosomal subunit protein uS17	rpsQ HMPREF1519_1404	Streptococcus sp. SR4	86	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_002885836.1	J7T5C6	unreviewed	J7T5C6_STRSL	Small ribosomal subunit protein uS17	rpsQ RSSL_01808	Streptococcus salivarius K12	86	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_002885836.1	A0A1S5W925	unreviewed	A0A1S5W925_STRGY	Small ribosomal subunit protein uS17	rpsQ BTR42_00260	Streptococcus gallolyticus subsp. gallolyticus DSM 16831	86	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_002885836.1	A0A091BVH0	unreviewed	A0A091BVH0_STREI	Small ribosomal subunit protein uS17	rpsQ H702_01185	Streptococcus equinus JB1	86	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_002885836.1	A0A074J0X1	unreviewed	A0A074J0X1_STRSL	Small ribosomal subunit protein uS17	rpsQ rpsQ_2 BSR19_10095 CKU37_00785 CQA85_10485 CYK22_08585 D8867_02420 DL07_10755 DWV94_01555 DWY30_01955 DWZ07_06645 FBF48_06200 FHI56_02320 FOC73_04945 GMC48_02940 GMC65_05750 HMPREF3219_0200332 HRE60_09385 I6I02_10825 NCTC7366_01990 NCTC8618_04427	Streptococcus salivarius	86	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_002885836.1	A0A0M4H8M6	unreviewed	A0A0M4H8M6_STRTR	Small ribosomal subunit protein uS17	rpsQ MNA02_1894 NCTC12958_02260 STHERMO_2041 STHERMO_2085 STHERMO_2144	Streptococcus thermophilus	86	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_002885836.1	A0A0W7UZY4	unreviewed	A0A0W7UZY4_STREI	Small ribosomal subunit protein uS17	rpsQ SAMN05216347_10937 SAMN05216392_1949 SAMN05216416_1850	Streptococcus equinus (Streptococcus bovis)	86	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_002885836.1	A0A3E4XGD6	unreviewed	A0A3E4XGD6_STRVE	Small ribosomal subunit protein uS17	rpsQ KH901_01775	Streptococcus vestibularis	86	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_002885836.1	A0A2X3VUG0	unreviewed	A0A2X3VUG0_9STRE	Small ribosomal subunit protein uS17	rpsQ NCTC11436_00712	Streptococcus lutetiensis	86	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_002885836.1	A0A139MHV9	unreviewed	A0A139MHV9_9STRE	Small ribosomal subunit protein uS17	rpsQ STRDD04_01819	Streptococcus sp. DD04	86	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_002885836.1	A0A139NG66	unreviewed	A0A139NG66_9STRE	Small ribosomal subunit protein uS17	rpsQ STRDD10_00707	Streptococcus sp. DD10	86	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_002885836.1	A0A1V0GF48	unreviewed	A0A1V0GF48_9STRE	Small ribosomal subunit protein uS17	rpsQ A6J31_08845	Streptococcus sp. FDAARGOS_192	86	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_002885836.1	A0A135YS05	unreviewed	A0A135YS05_9STRE	Small ribosomal subunit protein uS17	rpsQ DWV89_07740 HMPREF3205_01482	Streptococcus pasteurianus	86	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_002885836.1	A0A3L9DN20	unreviewed	A0A3L9DN20_9STRE	Small ribosomal subunit protein uS17	rpsQ EAF07_09835	Streptococcus hillyeri	86	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_002885836.1	A0A5C5TH39	unreviewed	A0A5C5TH39_9STRE	Small ribosomal subunit protein uS17	rpsQ FRX51_05505	Streptococcus sp. sy010	86	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_002885836.1	A0A5C5T788	unreviewed	A0A5C5T788_9STRE	Small ribosomal subunit protein uS17	rpsQ FRX54_05890	Streptococcus sp. sy004	86	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_002885836.1	A0A6G8HZY5	unreviewed	A0A6G8HZY5_9STRE	Small ribosomal subunit protein uS17	rpsQ GPZ88_04775	Streptococcus ruminicola	86	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_002885836.1	A0A060RLP8	unreviewed	A0A060RLP8_9STRE	Small ribosomal subunit protein uS17	rpsQ BN963_SGAL_02225 CAC02_07410 DW662_11190 NCTC13767_01065 SAMN04487839_11319 SAMN04487840_11819 SAMN05660328_11039 SGADD02_02003 SGADD03_02027	Streptococcus gallolyticus	86	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
WP_002885836.1	Q03IG0	reviewed	RS17_STRTD	Small ribosomal subunit protein uS17 (30S ribosomal protein S17)	rpsQ STER_1898	Streptococcus thermophilus (strain ATCC BAA-491 / LMD-9)	86	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]					
